state,year_range,sex,rank,cause_of_death,deaths,deaths_percent,crude_rate_per_100000,age_standardised_rate_per_100000
New South Wales,2019-2023,Males,1,Coronary heart disease (I20-I25),16618,11.1,82,67.3
New South Wales,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",9532,6.4,47,37.9
New South Wales,2019-2023,Males,3,"Lung cancer (C33, C34)",8080,5.4,39.9,32.4
New South Wales,2019-2023,Males,4,Cerebrovascular disease (I60-I69),7320,4.9,36.1,29.5
New South Wales,2019-2023,Males,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),6297,4.2,31.1,25.1
New South Wales,2019-2023,Males,6,Prostate cancer (C61),5722,3.8,28.2,22.7
New South Wales,2019-2023,Males,7,Diabetes (E10-E14),5122,3.4,25.3,20.7
New South Wales,2019-2023,Males,8,"Colorectal cancer (C18-C20, C26.0)",4683,3.1,23.1,19.1
New South Wales,2019-2023,Males,9,"Suicide (X60-X84, Y87.0)",3488,2.3,17.2,16.9
New South Wales,2019-2023,Males,10,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",3343,2.2,16.5,13.4
New South Wales,2019-2023,Males,11,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",3085,2.1,15.2,12.4
New South Wales,2019-2023,Males,12,Heart failure and complications and ill-defined heart disease (I50-I51),2968,2,14.6,11.9
New South Wales,2019-2023,Males,13,Pancreatic cancer (C25),2925,2,14.4,11.8
New South Wales,2019-2023,Males,14,Liver cancer (C22),2611,1.7,12.9,10.5
New South Wales,2019-2023,Males,15,Liver disease (K70-K76),2444,1.6,12.1,10.5
New South Wales,2019-2023,Males,16,Parkinson disease (G20),2425,1.6,12,9.7
New South Wales,2019-2023,Males,17,Kidney failure (N17-N19),2231,1.5,11,8.9
New South Wales,2019-2023,Males,18,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",2161,1.4,10.7,9.2
New South Wales,2019-2023,Males,19,Hypertensive disease (I10-I15),2102,1.4,10.4,8.4
New South Wales,2019-2023,Males,20,Leukaemia (C91-C95),2019,1.3,10,8.2
Victoria,2019-2023,Males,1,Coronary heart disease (I20-I25),12826,11.4,78.2,67.3
Victoria,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",6456,5.7,39.4,33.3
Victoria,2019-2023,Males,3,"Lung cancer (C33, C34)",6105,5.4,37.2,31.9
Victoria,2019-2023,Males,4,Cerebrovascular disease (I60-I69),4856,4.3,29.6,25.4
Victoria,2019-2023,Males,5,Prostate cancer (C61),4677,4.2,28.5,24.2
Victoria,2019-2023,Males,6,Chronic obstructive pulmonary disease (COPD) (J40-J44),4367,3.9,26.6,22.7
Victoria,2019-2023,Males,7,Diabetes (E10-E14),3612,3.2,22,18.9
Victoria,2019-2023,Males,8,"Colorectal cancer (C18-C20, C26.0)",3555,3.2,21.7,18.8
Victoria,2019-2023,Males,9,Accidental falls (W00-W19),3490,3.1,21.3,18.1
Victoria,2019-2023,Males,10,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",2979,2.6,18.2,15.5
Victoria,2019-2023,Males,11,"Suicide (X60-X84, Y87.0)",2706,2.4,16.5,16.2
Victoria,2019-2023,Males,12,Heart failure and complications and ill-defined heart disease (I50-I51),2654,2.4,16.2,13.8
Victoria,2019-2023,Males,13,Pancreatic cancer (C25),2248,2,13.7,11.8
Victoria,2019-2023,Males,14,Kidney failure (N17-N19),2204,2,13.4,11.4
Victoria,2019-2023,Males,15,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",1972,1.8,12,10.6
Victoria,2019-2023,Males,16,Liver cancer (C22),1914,1.7,11.7,10
Victoria,2019-2023,Males,17,Influenza and pneumonia (J09-J18),1892,1.7,11.5,9.8
Victoria,2019-2023,Males,18,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",1797,1.6,11,9.4
Victoria,2019-2023,Males,19,Liver disease (K70-K76),1795,1.6,10.9,10
Victoria,2019-2023,Males,20,Parkinson disease (G20),1672,1.5,10.2,8.7
Queensland,2019-2023,Males,1,Coronary heart disease (I20-I25),11107,12,85.4,75
Queensland,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",5976,6.5,46,41.6
Queensland,2019-2023,Males,3,"Lung cancer (C33, C34)",5542,6,42.6,35.7
Queensland,2019-2023,Males,4,Cerebrovascular disease (I60-I69),4319,4.7,33.2,29.4
Queensland,2019-2023,Males,5,Prostate cancer (C61),4104,4.4,31.6,27.5
Queensland,2019-2023,Males,6,Chronic obstructive pulmonary disease (COPD) (J40-J44),4031,4.4,31,26.5
Queensland,2019-2023,Males,7,"Colorectal cancer (C18-C20, C26.0)",3024,3.3,23.3,20.2
Queensland,2019-2023,Males,8,Diabetes (E10-E14),3014,3.3,23.2,20
Queensland,2019-2023,Males,9,"Suicide (X60-X84, Y87.0)",2993,3.2,23,23.1
Queensland,2019-2023,Males,10,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",1846,2,14.2,12.2
Queensland,2019-2023,Males,11,Pancreatic cancer (C25),1745,1.9,13.4,11.3
Queensland,2019-2023,Males,12,Parkinson disease (G20),1560,1.7,12,10.6
Queensland,2019-2023,Males,13,Liver disease (K70-K76),1556,1.7,12,10.5
Queensland,2019-2023,Males,14,Liver cancer (C22),1436,1.6,11,9.2
Queensland,2019-2023,Males,15,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",1368,1.5,10.5,9.4
Queensland,2019-2023,Males,16,Accidental falls (W00-W19),1310,1.4,10.1,9
Queensland,2019-2023,Males,17,Leukaemia (C91-C95),1307,1.4,10,8.7
Queensland,2019-2023,Males,18,"Land transport accidents (V01-V89, Y85)",1220,1.3,9.4,9.3
Queensland,2019-2023,Males,19,Melanoma of the skin (C43),1170,1.3,9,7.8
Queensland,2019-2023,Males,20,Influenza and pneumonia (J09-J18),1105,1.2,8.5,7.7
Western Australia,2019-2023,Males,1,Coronary heart disease (I20-I25),5355,12.5,77.5,70.6
Western Australia,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",2716,6.3,39.3,36.9
Western Australia,2019-2023,Males,3,"Lung cancer (C33, C34)",2290,5.3,33.1,29.3
Western Australia,2019-2023,Males,4,Cerebrovascular disease (I60-I69),1764,4.1,25.5,23.6
Western Australia,2019-2023,Males,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),1748,4.1,25.3,23
Western Australia,2019-2023,Males,6,Prostate cancer (C61),1550,3.6,22.4,20.5
Western Australia,2019-2023,Males,7,"Suicide (X60-X84, Y87.0)",1484,3.5,21.5,21.4
Western Australia,2019-2023,Males,8,Diabetes (E10-E14),1348,3.1,19.5,17.8
Western Australia,2019-2023,Males,9,Accidental falls (W00-W19),1331,3.1,19.3,18
Western Australia,2019-2023,Males,10,"Colorectal cancer (C18-C20, C26.0)",1181,2.8,17.1,15.4
Western Australia,2019-2023,Males,11,Pancreatic cancer (C25),872,2,12.6,11.2
Western Australia,2019-2023,Males,12,Accidental poisoning (X40-X49),805,1.9,11.7,11.7
Western Australia,2019-2023,Males,13,"Land transport accidents (V01-V89, Y85)",708,1.6,10.2,10.2
Western Australia,2019-2023,Males,14,Parkinson disease (G20),687,1.6,9.9,9.3
Western Australia,2019-2023,Males,15,Liver disease (K70-K76),672,1.6,9.7,8.8
Western Australia,2019-2023,Males,16,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",671,1.6,9.7,8.7
Western Australia,2019-2023,Males,17,Liver cancer (C22),641,1.5,9.3,8.1
Western Australia,2019-2023,Males,18,Heart failure and complications and ill-defined heart disease (I50-I51),601,1.4,8.7,8.2
Western Australia,2019-2023,Males,19,Leukaemia (C91-C95),591,1.4,8.6,7.8
Western Australia,2019-2023,Males,20,Kidney failure (N17-N19),575,1.3,8.3,7.7
South Australia,2019-2023,Males,1,Coronary heart disease (I20-I25),4453,11.9,99.7,72.5
South Australia,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",2793,7.5,62.6,43.5
South Australia,2019-2023,Males,3,"Lung cancer (C33, C34)",2034,5.4,45.6,33.3
South Australia,2019-2023,Males,4,Chronic obstructive pulmonary disease (COPD) (J40-J44),1638,4.4,36.7,26.3
South Australia,2019-2023,Males,5,Cerebrovascular disease (I60-I69),1505,4,33.7,24.2
South Australia,2019-2023,Males,6,Prostate cancer (C61),1467,3.9,32.9,23.1
South Australia,2019-2023,Males,7,Diabetes (E10-E14),1203,3.2,26.9,19.6
South Australia,2019-2023,Males,8,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",1186,3.2,26.6,20.4
South Australia,2019-2023,Males,9,"Colorectal cancer (C18-C20, C26.0)",1097,2.9,24.6,18.2
South Australia,2019-2023,Males,10,Accidental falls (W00-W19),910,2.4,20.4,14.5
South Australia,2019-2023,Males,11,"Suicide (X60-X84, Y87.0)",904,2.4,20.2,19.9
South Australia,2019-2023,Males,12,Pancreatic cancer (C25),774,2.1,17.3,12.8
South Australia,2019-2023,Males,13,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",681,1.8,15.3,11
South Australia,2019-2023,Males,14,Heart failure and complications and ill-defined heart disease (I50-I51),649,1.7,14.5,10.4
South Australia,2019-2023,Males,15,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",635,1.7,14.2,10.1
South Australia,2019-2023,Males,16,Liver disease (K70-K76),605,1.6,13.5,11.1
South Australia,2019-2023,Males,17,Influenza and pneumonia (J09-J18),571,1.5,12.8,9
South Australia,2019-2023,Males,18,Liver cancer (C22),541,1.4,12.1,8.9
South Australia,2019-2023,Males,19,Parkinson disease (G20),533,1.4,11.9,8.4
South Australia,2019-2023,Males,20,Kidney failure (N17-N19),511,1.4,11.4,8.1
Tasmania,2019-2023,Males,1,Coronary heart disease (I20-I25),1643,13.1,117.7,84.8
Tasmania,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",707,5.6,50.7,36.4
Tasmania,2019-2023,Males,3,"Lung cancer (C33, C34)",688,5.5,49.3,34.4
Tasmania,2019-2023,Males,4,Chronic obstructive pulmonary disease (COPD) (J40-J44),679,5.4,48.6,33.8
Tasmania,2019-2023,Males,5,Cerebrovascular disease (I60-I69),605,4.8,43.3,31.3
Tasmania,2019-2023,Males,6,Prostate cancer (C61),516,4.1,37,25.6
Tasmania,2019-2023,Males,7,Diabetes (E10-E14),480,3.8,34.4,24.2
Tasmania,2019-2023,Males,8,"Colorectal cancer (C18-C20, C26.0)",373,3,26.7,19.6
Tasmania,2019-2023,Males,9,"Suicide (X60-X84, Y87.0)",334,2.7,23.9,23.4
Tasmania,2019-2023,Males,10,Accidental falls (W00-W19),288,2.3,20.6,15
Tasmania,2019-2023,Males,11,Pancreatic cancer (C25),266,2.1,19.1,13.2
Tasmania,2019-2023,Males,12,Liver disease (K70-K76),223,1.8,16,12.2
Tasmania,2019-2023,Males,13,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",217,1.7,15.5,10.7
Tasmania,2019-2023,Males,14,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",182,1.5,13,9.5
Tasmania,2019-2023,Males,15,Parkinson disease (G20),179,1.4,12.8,9
Tasmania,2019-2023,Males,16,Oesophageal cancer (C15),173,1.4,12.4,8.5
Tasmania,2019-2023,Males,17,Hypertensive disease (I10-I15),162,1.3,11.6,8.4
Tasmania,2019-2023,Males,18,"Land transport accidents (V01-V89, Y85)",162,1.3,11.6,11.1
Tasmania,2019-2023,Males,19,Leukaemia (C91-C95),158,1.3,11.3,8
Tasmania,2019-2023,Males,20,Liver cancer (C22),153,1.2,11,7.6
Australian Capital Territory,2019-2023,Males,1,Coronary heart disease (I20-I25),607,10.5,54.5,58.1
Australian Capital Territory,2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",417,7.2,37.4,41.5
Australian Capital Territory,2019-2023,Males,3,"Lung cancer (C33, C34)",253,4.4,22.7,23.9
Australian Capital Territory,2019-2023,Males,4,Cerebrovascular disease (I60-I69),248,4.3,22.3,24.2
Australian Capital Territory,2019-2023,Males,5,Prostate cancer (C61),235,4.1,21.1,23
Australian Capital Territory,2019-2023,Males,6,Chronic obstructive pulmonary disease (COPD) (J40-J44),232,4,20.8,22.3
Australian Capital Territory,2019-2023,Males,7,"Suicide (X60-X84, Y87.0)",185,3.2,16.6,16.5
Australian Capital Territory,2019-2023,Males,8,Diabetes (E10-E14),180,3.1,16.2,17.4
Australian Capital Territory,2019-2023,Males,9,"Colorectal cancer (C18-C20, C26.0)",165,2.9,14.8,15.8
Australian Capital Territory,2019-2023,Males,10,Parkinson disease (G20),134,2.3,12,13.3
Australian Capital Territory,2019-2023,Males,11,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",128,2.2,11.5,12.5
Australian Capital Territory,2019-2023,Males,12,Accidental falls (W00-W19),127,2.2,11.4,12.3
Australian Capital Territory,2019-2023,Males,13,Pancreatic cancer (C25),116,2,10.4,11
Australian Capital Territory,2019-2023,Males,14,Liver disease (K70-K76),104,1.8,9.3,9.8
Australian Capital Territory,2019-2023,Males,15,Accidental poisoning (X40-X49),98,1.7,8.8,8.8
Australian Capital Territory,2019-2023,Males,16,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",97,1.7,8.7,9.2
Australian Capital Territory,2019-2023,Males,17,Cardiac arrhythmias (I47-I49),86,1.5,7.7,8.5
Australian Capital Territory,2019-2023,Males,18,Liver cancer (C22),82,1.4,7.4,7.7
Australian Capital Territory,2019-2023,Males,19,Melanoma of the skin (C43),79,1.4,7.1,7.6
Australian Capital Territory,2019-2023,Males,20,Pulmonary oedema and other interstitial pulmonary diseases (J80-J84),78,1.3,7,7.6
Northern Territory,2019-2023,Males,1,Coronary heart disease (I20-I25),424,12,67,94.1
Northern Territory,2019-2023,Males,2,"Lung cancer (C33, C34)",228,6.4,36,50.6
Northern Territory,2019-2023,Males,3,Chronic obstructive pulmonary disease (COPD) (J40-J44),207,5.8,32.7,51
Northern Territory,2019-2023,Males,4,Diabetes (E10-E14),191,5.4,30.2,43.1
Northern Territory,2019-2023,Males,5,"Suicide (X60-X84, Y87.0)",164,4.6,25.9,26.6
Northern Territory,2019-2023,Males,6,"Dementia including Alzheimer's disease (F01, F03, G30)",129,3.6,20.4,50.9
Northern Territory,2019-2023,Males,7,"Land transport accidents (V01-V89, Y85)",129,3.6,20.4,19.3
Northern Territory,2019-2023,Males,8,Cerebrovascular disease (I60-I69),107,3,16.9,30.8
Northern Territory,2019-2023,Males,9,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00-P96, Q00-Q99 excl. P28.5)",88,2.5,13.9,13.2
Northern Territory,2019-2023,Males,10,Liver cancer (C22),82,2.3,12.9,16.4
Northern Territory,2019-2023,Males,11,Prostate cancer (C61),76,2.1,12,23.7
Northern Territory,2019-2023,Males,12,"Colorectal cancer (C18-C20, C26.0)",74,2.1,11.7,17.5
Northern Territory,2019-2023,Males,13,Pancreatic cancer (C25),71,2,11.2,15.6
Northern Territory,2019-2023,Males,14,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",69,1.9,10.9,16.5
Northern Territory,2019-2023,Males,15,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",67,1.9,10.6,13.4
Northern Territory,2019-2023,Males,16,Liver disease (K70-K76),64,1.8,10.1,11.2
Northern Territory,2019-2023,Males,17,Kidney failure (N17-N19),49,1.4,7.7,12.5
Northern Territory,2019-2023,Males,18,Oesophageal cancer (C15),44,1.2,6.9,9.7
Northern Territory,2019-2023,Males,19,Influenza and pneumonia (J09-J18),43,1.2,6.8,10.3
Northern Territory,2019-2023,Males,20,Accidental falls (W00-W19),43,1.2,6.8,10.8
Other Territories,2019-2023,Males,1,Coronary heart disease (I20-I25),13,17.6,101,
Other Territories,2019-2023,Males,2,Prostate cancer (C61),8,10.8,62.2,
Other Territories,2019-2023,Males,3,"Lung cancer (C33, C34)",6,8.1,46.6,
Other Territories,2019-2023,Males,4,Kidney failure (N17-N19),5,6.8,38.8,
Other Territories,2019-2023,Males,5,Diabetes (E10-E14),3,4.1,23.3,
Other Territories,2019-2023,Males,6,"Dementia including Alzheimer's disease (F01, F03, G30)",3,4.1,23.3,
Other Territories,2019-2023,Males,7,Heart failure and complications and ill-defined heart disease (I50-I51),3,4.1,23.3,
Other Territories,2019-2023,Males,8,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",2,2.7,15.5,
Other Territories,2019-2023,Males,9,Malignant neoplasms of mesothelial and soft tissue (C45-C49),2,2.7,15.5,
Other Territories,2019-2023,Males,10,Hypertensive disease (I10-I15),2,2.7,15.5,
Other Territories,2019-2023,Males,11,Cardiac arrhythmias (I47-I49),2,2.7,15.5,
Other Territories,2019-2023,Males,12,Cerebrovascular disease (I60-I69),2,2.7,15.5,
Other Territories,2019-2023,Males,13,Septicaemia (A40-A41),1,1.4,7.8,
Other Territories,2019-2023,Males,14,Oesophageal cancer (C15),1,1.4,7.8,
Other Territories,2019-2023,Males,15,"Colorectal cancer (C18-C20, C26.0)",1,1.4,7.8,
Other Territories,2019-2023,Males,16,Liver cancer (C22),1,1.4,7.8,
Other Territories,2019-2023,Males,17,Melanoma of the skin (C43),1,1.4,7.8,
Other Territories,2019-2023,Males,18,"Malignant neoplasms of renal pelvis, bladder, other urinary organs (C65, C66, C68)",1,1.4,7.8,
Other Territories,2019-2023,Males,19,Brain cancer (C71),1,1.4,7.8,
Other Territories,2019-2023,Males,20,Leukaemia (C91-C95),1,1.4,7.8,
Australia (total),2019-2023,Males,1,Coronary heart disease (I20-I25),53046,11.6,82.6,70.2
Australia (total),2019-2023,Males,2,"Dementia including Alzheimer's disease (F01, F03, G30)",28729,6.3,44.8,37.9
Australia (total),2019-2023,Males,3,"Lung cancer (C33, C34)",25226,5.5,39.3,32.7
Australia (total),2019-2023,Males,4,Cerebrovascular disease (I60-I69),20726,4.5,32.3,27.4
Australia (total),2019-2023,Males,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),19199,4.2,29.9,25
Australia (total),2019-2023,Males,6,Prostate cancer (C61),18355,4,28.6,23.9
Australia (total),2019-2023,Males,7,Diabetes (E10-E14),15153,3.3,23.6,20
Australia (total),2019-2023,Males,8,"Colorectal cancer (C18-C20, C26.0)",14153,3.1,22,18.7
Australia (total),2019-2023,Males,9,"Suicide (X60-X84, Y87.0)",12259,2.7,19.1,18.9
Australia (total),2019-2023,Males,10,Accidental falls (W00-W19),9504,2.1,14.8,12.6
Australia (total),2019-2023,Males,11,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",9230,2,14.4,12.2
Australia (total),2019-2023,Males,12,Pancreatic cancer (C25),9017,2,14,11.8
Australia (total),2019-2023,Males,13,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",8465,1.9,13.2,11.1
Australia (total),2019-2023,Males,14,Heart failure and complications and ill-defined heart disease (I50-I51),8209,1.8,12.8,10.9
Australia (total),2019-2023,Males,15,Liver disease (K70-K76),7464,1.6,11.6,10.3
Australia (total),2019-2023,Males,16,Liver cancer (C22),7461,1.6,11.6,9.7
Australia (total),2019-2023,Males,17,Parkinson disease (G20),7212,1.6,11.2,9.5
Australia (total),2019-2023,Males,18,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",6691,1.5,10.4,9.2
Australia (total),2019-2023,Males,19,Kidney failure (N17-N19),6619,1.4,10.3,8.7
Australia (total),2019-2023,Males,20,Influenza and pneumonia (J09-J18),6348,1.4,9.9,8.4
New South Wales,2019-2023,Females,1,"Dementia including Alzheimer's disease (F01, F03, G30)",16844,12.2,82.2,46.6
New South Wales,2019-2023,Females,2,Coronary heart disease (I20-I25),11043,8,53.9,32.2
New South Wales,2019-2023,Females,3,Cerebrovascular disease (I60-I69),9658,7,47.1,28.6
New South Wales,2019-2023,Females,4,"Lung cancer (C33, C34)",5937,4.3,29,20.9
New South Wales,2019-2023,Females,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),5750,4.2,28.1,18.8
New South Wales,2019-2023,Females,6,Breast cancer (C50),5197,3.8,25.4,18.8
